epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,145.404,0.84782,0.6726,1.3772,0.9516,0.91459,0.95872,0.68892,0.99615,0.50044,1.56453,0.00016795,0.00016795,0.00016795
111,290.583,0.70138,0.4158,1.30697,0.94882,0.91978,0.96074,0.68581,0.99107,0.50449,1.56043,0.000154198,0.000154198,0.000154198
112,434.866,0.68507,0.39791,1.29388,0.95338,0.9118,0.95713,0.68757,0.98182,0.50082,1.55158,0.000140445,0.000140445,0.000140445
113,578.975,0.67438,0.39109,1.27838,0.95474,0.91145,0.95858,0.68897,0.97829,0.49862,1.54864,0.000126692,0.000126692,0.000126692
114,723.117,0.66843,0.38333,1.27424,0.95368,0.90935,0.95685,0.68955,0.9746,0.49919,1.54443,0.000112939,0.000112939,0.000112939
115,866.889,0.66511,0.38041,1.2708,0.95306,0.90877,0.95661,0.69321,0.97005,0.49627,1.53727,9.91865e-05,9.91865e-05,9.91865e-05
116,1010.98,0.65658,0.37378,1.26041,0.95089,0.9128,0.95474,0.69434,0.96184,0.49496,1.52817,8.54337e-05,8.54337e-05,8.54337e-05
117,1154.88,0.64439,0.3695,1.24743,0.95459,0.9126,0.95451,0.6949,0.95994,0.49477,1.52753,7.1681e-05,7.1681e-05,7.1681e-05
118,1298.81,0.65031,0.36717,1.25593,0.95554,0.91126,0.95471,0.69356,0.96023,0.49562,1.52796,5.79283e-05,5.79283e-05,5.79283e-05
119,1442.69,0.64528,0.36593,1.24751,0.95604,0.91019,0.95407,0.6929,0.9601,0.49607,1.52935,4.41755e-05,4.41755e-05,4.41755e-05
120,1586.87,0.63433,0.36164,1.24694,0.95532,0.90729,0.95503,0.69365,0.95924,0.49508,1.52928,3.04227e-05,3.04227e-05,3.04227e-05
